name,time,sore,comment
介意,2018-10-14 ,推荐,"It’s not me, it’s something inside me that makes me kiss you."
疯中飘摇,2018-10-05 ,推荐,典型的英雄动作片吧，感觉像是有被阉割一样，不够血腥暴力没有反英雄的感觉。 但绝对没有那些影评人说的那么差。片中毒液自称在他的星球上是个loser，所以决定阻止精英Riot的全面入侵计划，以便在地球这个羸弱的星球上称王称霸。乍一听还以为是在讲white trash外教呢，顶着张白皮在发展中国家睡easy girl哈哈哈哈。7/10
木由,2018-10-16 ,推荐,给小孩子看着玩的。同样是脑中恶魔，思想深度和故事完整度和同期出品的Upgrade差了几个层次。画面还是好看的，泡泡糖技能加持摩托飞车也好看，就是低龄了点。Venom傻白甜到自曝其短，从声波攻击到火焰攻击，致命弱点全交代了人类，长刺大暴死真是被它坑死的。不过穿越了整个宇宙只为和另一个loser相互取暖的设定莫名很甜。
Strelizeia,2018-11-14 ,推荐,虽然外星生物突然决定要留下来很尬，但逆袭怕是大众都喜欢的梗，死不掉飞来飞去的力量也是很多人的幻想。漫威系列这个毒液实在是很满足人的欲望，黑色有点萌萌哒，想起了驯龙高手的加强版，eddie？vernom!不许说人家是寄生虫！
师诗尸,2018-11-13 ,推荐,为斯坦李多加半星吧……感觉跟寄生兽撞梗了但立意上差得太远，并且完全没有懂毒液怎么就喜欢上地球了╮(╯▽╰)╭
面白饭Θ☉Θ,2019-01-22 ,还行,飞机上看的，Venom有点可爱，丹还是那个丹，出场前说新男友叫丹我就想到他哈哈哈。
大爷一支花,2018-11-09 ,推荐,看汤老湿卖萌打嘴炮真是太可爱了。
小小农,2019-02-07 ,推荐,都是毒液，一样又不一样。守底线的与无下限的，撕破脸，全面开启互殴模式！美式幽默就是这么调皮，说的还是“人事”。想要逃？想要同归于尽？都是幻想，说你呢，恶之灵！
indicent time,2018-11-24 ,还行,看完非常理解影评人清一色打低分的想法，剧本实在不行，不论是剧情、节奏还是对白都充满了B级片的即视感，连“山寨哈迪”的《升级》（两部电影的母题其实可以相互比对，非常有趣）都比这部有大片感，动作戏参差不齐，追车戏非常打扰人睡觉，而最后的对打倒是看得出一些东西。全片最成功的点还是毒液本身塑造的成功，不看电影打死我也不信毒液会成为全片最可爱迷人的正派角色，最后致敬一下去天堂遛狗的斯坦李
阿素喇,2018-11-09 ,推荐,除了用QQ发短信这个很囧以外，其他都挺好，打斗合格
醉舟一季,2018-11-11 ,还行,我永远记不得汤老师长相，这部让我记住了。不过为什么毒液突然就非要要拯救地球了？小米虽好，但和汤老师真的不搭。
老阿飞—故园,2018-12-17 ,还行,剧作问题太大了……毒液这个角色是很逗比，但是他的逗比毫无来源，好吧，这都不重要，但是如此逗比的角色（相对来说唯一的亮点），戏份也太少了，如果全片8成都是毒液的戏，我觉得还更合理一些。
诸葛福媛,2018-12-09 ,推荐,虽然剧情就那样，但毒液/艾迪的CP略萌啊，汤老师的演技稳得一AC
年上党怎么办,2018-12-03 ,推荐,原来是一个爱情喜剧片，Eddie和Venom相识相伴的故事呀。还挺有意思的，爆米花片绝对合格了，娱乐性十足，尤其是俩人斗嘴的时候很可爱
pipboy,2018-11-09 ,还行,公映3D
桑梓,2018-10-04 ,还行,纯英语看的却意外的觉得好看。毒液居然有点反差萌，汤老师毒液本毒了。外星卢瑟和地球卢瑟cp，和谐的不要不要的，互怼得时候狂撒狗粮。女主的存在感最强的时候居然也是被毒液附身变成性感毒液。叙事上前奏有点长，其余几乎还可以，很合格的超级英雄片。
暹罗copen,2019-04-02 ,还行,湿吻好评，汤老师太可口，猛毒改名萌毒好了。缺点是剧本太水。
是浩子君呀,2018-12-02 ,推荐,爽片
河狸,2018-11-09 ,力荐,现在才知道，原来《寄生兽》完全就是在cos毒液。
